"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"2902302";140;459;NA;1156;3;121;444;NA;797;NA
"2902401";215;574;NA;1056;9;206;688;NA;1189;15
"2902500";760;333;1;1977;3;319;128;1;900;1
"2902609";486;578;1;2157;NA;458;602;5;2207;2
"2902658";448;159;NA;857;355;435;203;2;1106;373
"2902708";1127;1971;2;4704;5;981;1995;3;4721;8
"2902807";1479;544;2;3175;5;955;344;1;2141;5
"2902906";1577;1222;4;3998;8;1284;942;4;3226;7
"2903003";677;354;1;1658;8;600;303;5;1438;6
"2903102";97;509;NA;660;1;81;265;NA;528;1
"2903201";6798;5049;98;14932;92;6208;4805;113;16238;105
"2903235";724;296;3;1564;7;575;285;4;1290;4
"2903276";494;399;NA;1002;1;642;786;NA;1883;2
"2903300";133;236;1;687;14;125;220;3;810;13
"2903409";494;1111;4;2023;57;411;948;3;2153;64
"2903508";848;426;1;1989;5;726;423;6;1934;5
"2903607";266;650;1;1541;NA;264;842;1;1804;NA
"2903706";588;313;1;1396;18;514;326;12;1548;20
"2903805";392;747;5;2080;2;299;693;6;1706;2
"2903904";2371;3048;11;5701;38;1677;2743;13;5345;33
"2903953";580;205;NA;1191;7;322;131;2;729;3
"2904001";432;481;3;1607;1;307;450;2;1059;NA
"2904050";422;463;4;1868;16;348;374;10;1910;15
"2904100";982;251;1;2275;5;757;237;NA;1942;1
"2904209";566;203;NA;1723;1;273;129;NA;744;NA
"2904308";403;565;5;1193;1;381;716;3;1454;8
"2904407";546;293;1;1370;2;236;120;NA;625;NA
"2904506";711;258;1;1555;5;496;174;1;1049;3
"2904605";6026;1380;8;7437;27;3632;955;14;5045;18
"2904704";434;559;4;1649;103;479;582;7;1827;79
"2904753";621;631;6;2301;2;414;350;2;1569;6
"2904803";365;165;1;545;6;259;162;NA;668;5
"2904852";246;969;1;1313;5;195;1168;1;1305;6
"2904902";326;2299;4;1914;8;334;3330;8;2481;16
"2905008";1680;588;3;2613;1;955;369;2;1616;2
"2905107";246;531;NA;978;6;207;565;4;1030;3
"2905156";744;115;4;1389;2;478;70;3;865;2
"2905206";3401;1256;12;4808;9;2732;1312;9;4131;8
"2905305";432;461;3;1840;2;446;489;2;2140;2
"2905404";511;1082;4;1475;33;443;1102;13;1859;19
"2905503";316;366;1;1238;6;349;446;3;1556;11
"2905602";682;1040;5;2270;173;588;1001;5;2358;174
"2905701";7873;16267;98;28433;212;7416;17749;107;31674;236
"2905800";605;2198;3;2364;51;593;2277;2;2325;26
"2905909";1190;816;26;4047;15;770;511;12;2715;8
"2906006";2728;2601;16;7611;33;2182;2351;34;6742;29
"2906105";744;198;2;1234;2;333;129;NA;668;1
"2906204";904;737;2;2447;4;810;644;12;2769;5
"2906303";769;1367;7;3704;40;795;1444;9;3858;47
"2906402";161;468;NA;646;1;154;644;NA;699;2
"2906501";1140;4782;26;6395;22;1142;5644;43;7250;20
"2906600";839;357;1;1625;NA;463;269;NA;926;NA
"2906709";1057;521;7;2644;13;1195;484;4;2959;13
"2906808";1234;797;3;4446;27;1273;724;1;4239;18
"2906824";473;402;10;2035;4;362;347;3;1817;1
"2906857";670;298;4;1315;5;524;245;4;1243;3
"2906873";1602;921;2;3152;23;1619;1054;4;3905;27
"2906899";826;211;NA;1277;6;428;88;1;628;NA
"2906907";731;896;4;2364;23;447;792;3;1978;21
"2907004";121;496;1;574;11;101;774;3;733;11
"2907103";1095;747;8;3206;10;717;710;8;2819;7
"2907202";3729;1787;34;6930;41;3078;1613;16;6155;42
"2907301";514;1224;1;2469;4;466;1465;1;2560;5
"2907400";178;102;NA;332;NA;121;86;NA;306;NA
"2907509";1092;2325;6;5399;15;1009;2541;8;5897;20
"2907558";723;204;1;981;1;422;152;NA;537;NA
"2907608";733;420;5;1828;7;580;435;6;1712;9
"2907707";119;236;NA;1180;1;155;270;1;1245;7
"2907806";1917;553;1;2924;36;2072;722;7;3411;35
"2907905";545;547;3;1397;11;652;701;NA;1847;10
"2908002";470;709;5;1883;15;523;826;6;2217;10
"2908101";1352;388;6;2096;18;751;233;10;1438;9
